ID,company_name,city,state,location,size,website,industry,description,revenue,founded,company_type,logo_url
1,KBI Biopharma,Durham,NC,"Durham, NC","1,001-5,000 employees",http://www.kbibiopharma.com/,Biotechnology Research,"KBI Biopharma is an award-winning biopharmaceutical contract services organization providing fully-integrated, accelerated drug development and biomanufacturing services to pharmaceutical and biotechnology companies globally.

With each of our 500+ client partners, we have worked closely to personalize and rapidly accelerate their drug development programs. Built upon a foundation of world-class analytical capabilities, we deliver efficient process development and clinical and commercial cGMP manufacturing services for mammalian, microbial, and cell therapy programs.

KBI is proud to be a JSR Life Sciences Company.",Unknown,1996.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQF_mJOd2UXOXg/company-logo_200_200/0/1635209659306?e=1677715200&v=beta&t=epXDwRO5QY0lMh3B2pHYFD8HO-1Mns25cpoGTPWBU8o
2,DT Professional Services,Los Angeles,CA,"Los Angeles, California",11-50 employees,http://www.dtprosusa.com/,IT Services and IT Consulting,"DT Professional Services is a SBA 8(a) and HUBZone certified Small Disadvantaged Business. Our relentless commitment to quality, as evidenced by our CMMI Level 3 (Services) and ISO 9001:2015 & 27001:2103 certifications, enable us to build award-winning custom software solutions for our prestigious clients. Established in 2013, we bring over 50 years of cumulative experience in delivering technology services & solutions that specialize in web & custom application development, DevSecOps, Project/Program management, Mobile, Robotic Process Automation (RPA), Artificial Intelligence (AI), Machine Learning, Analytics, Advanced Analytics & Cloud Computing services.",Unknown,2013.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHjzvUcy-gpbg/company-logo_200_200/0/1519897338371?e=1677715200&v=beta&t=sE2V4wdDCpm4gNAk4m1Wwt6XFECr4mvsDXjJ9_R_iwk
3,Activision Blizzard Media,San Francisco,CA,"San Francisco, CA",51-200 employees,http://www.activisionblizzardmedia.com/,Advertising Services,"Activision Blizzard Media is the gateway for brands to the #1 cross-platform gaming company in the western world, with hundreds of millions of players across over 190 countries. Our legendary portfolio includes iconic mobile game franchises such as Candy Crush™, esports opportunities like the Call of Duty® and Overwatch® Leagues, and some of the top PC and console gaming franchises such as World of Warcraft®, Call of Duty®, and StarCraft®. The idea is simple: great game experiences offer great marketing experiences. ",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFB0BBQMa_JvA/company-logo_200_200/0/1542121150661?e=1677715200&v=beta&t=DfHiHepaKNmZ6612xddp4W06CztzUxPXN3Wu9UUlRA8
4,"Voloridge Investment Management, LLC",Jupiter,FL,"Jupiter, FL",51-200 employees,http://www.voloridge.com/,Financial Services,"Voloridge Investment Management was launched in 2009 by David S. Vogel with the goal of creating a world-class quantitative and systematic investment management firm.  The firm is comprised of award-winning predictive modelers, experienced data analysts, technologists and a dynamic group of back-office professionals, all working together.  ",Unknown,2009.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGacKC1P5optA/company-logo_200_200/0/1581713549177?e=1677715200&v=beta&t=WBEo0up6TdC4UL2cHl_UzGQHsSisPTGQLhNobvEG-_U
5,Santee Cooper,Moncks Corner,SC,"Moncks Corner, SC","1,001-5,000 employees",http://www.santeecooper.com/,Utilities,"Santee Cooper is South Carolina’s largest power producer, the largest Green Power generator and the ultimate source of electricity for 2 million people across the state. Through its low-cost, reliable and environmentally responsible electricity and water services, and through innovative partnerships and initiatives that attract and retain industry and jobs, Santee Cooper powers South Carolina toward a bright tomorrow. Today.

By participating on Santee Cooper's LinkedIn page, you are agreeing to the following community guidelines: https://scpsa.us/35jRkvr",Unknown,1934.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHtgmCgF1Uqyg/company-logo_200_200/0/1519856580287?e=1677715200&v=beta&t=AhCxet4BsEIBi-wQQAVLlh1o5jUAAaV_0NnO1d4ZZog
6,BrainWorks,Unknown,Unknown,Unknown,11-50 employees,http://www.brainworksinc.com/,Staffing and Recruiting,"Since 1991, BrainWorks has been providing smarter executive recruiting services in the practice areas of Consumer Insights, Consumer Products, Decision Sciences, Market Research, and Relationship Marketing.

We find leaders. And innovators. And do-ers. We help our clients find the people who will drive their future success.

At our core, we are executive recruiters. We find talent. 

Great jobs. Better insight. Exceptional support.
And at BrainWorks, we have the connections to lead you to exceptional career options in your field.
When you partner with BrainWorks, we act as your career advisor and opportunity scout. Our job is to find the opportunities that are the best match to your skills, experience and ambitions.

Better talent. Faster hires.
Our professional researchers will source the best talent in the field…not those just looking for work.
When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.

At BrainWorks, we pride ourselves on developing long-term consultative relationships that will help you enhance your career or assist your company to staff more strategically. When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.",Unknown,1991.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHZS8Pr6ss0JQ/company-logo_200_200/0/1587585622836?e=1677715200&v=beta&t=IUEUjwGz1CCR6HPqxhK-bDmoHMbEv3vUSIpHrfjmxLQ
7,AE Studio,Los Angeles,CA,"Los Angeles, California",51-200 employees,https://ae.studio/,Software Development,"AE is a software development, data science, and design agency. That part is common. The rest is extraordinary. Founded in 2016, AE has bootstrapped its way to 150+ individuals working to increase human agency through technology. No venture capital. No private equity. No outside shareholders. This allows a longtermist perspective for clients and employees that leads to unparalleled thought-partnership and creativity.

Some of the profits from our consulting business are channeled into skunkworks - internal, agency increasing projects we incubate, turning our world-class team into founders themselves. Some are kept, some are sold! Like EletricSMS which we sold for a few million dollars. Profits from these ventures are deployed towards our big-hairy-audacious-goal: the development of a brain computer interface (BCI) operating system that increases agency rather than interruption of our thoughts with ads.

Let our agency increase yours.",Unknown,2016.0,Unknown,https://media-exp1.licdn.com/dms/image/D4D0BAQG8JvAcbW9i4g/company-logo_200_200/0/1667589214627?e=1677715200&v=beta&t=9ijuKKO-EnzGX8MlFcKUOGrtTWrKurKV65oiY48ttu4
8,Chewy,Plantation,FL,"Plantation, Florida","10,001+ employees",careers.chewy.com/,Retail,"Launched in 2011, we offer the personalized service of a neighborhood pet store alongside the convenience and speed of e-commerce. Customers love shopping our wide selection of products of more than 45,000 items (including our Private brands and prescription Rx food and Rx medication products), which we offer at competitive prices, fast 1-2 day shipping and around-the-clock convenience that only e-commerce can offer.

Our commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need.

As an e­-commerce company, product innovation drives our operations, and our team is constantly striving to find new and better ways to improve our customers’ experience. From an easy­ to­ navigate website and highly­ rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.

We're also growing — fast. No longer a young pup, we're proud to be one of the fastest growing e-commerce companies of all time. 

With growth comes the exciting opportunity to be a part of a world-class organization of  diverse team members, responsible for driving our latest innovations and customer experiences.",Unknown,2011.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGLd0ulL8wFyw/company-logo_200_200/0/1629734264472?e=1677715200&v=beta&t=jsWwQ6ja79OjkwoHdUmgXBPty6a28dwDaCeVhmcfPvA
9,Heath Consultants Incorporated,Houston,TX,"Houston, Texas","1,001-5,000 employees",https://heathus.com/,Oil and Gas,"Since 1933 Heath Consultants Incorporated has led the industry in the safety of natural gas utilities infrastructure through the innovative and conscientious actions of our employees. Our continued field services growth is due in large part to the addition of new field services, such as underground utility line locating, meter and corrosion services to our utility partners outside of our core emissions reduction focus.

Heath’s innovative products have led to safer survey practices for both gas utilities and within our own field services division. These breakthroughs in technology are due in large part to the efforts of our engineering and marketing experts who research and develop new products and services through strategic partnerships with well recognized research and development organizations and industry trade associations.

Heath is certified as a women’s business enterprise by the Women’s Business Enterprise National Council (WBENC), the nation’s largest third-party certifier of the businesses owned and operated by women in the U.S.

Every aspect of Heath's business is rooted in our seven core values: 

•Safety is our number one priority
•Communicate openly and honestly.
•Approach all that we do with a sense of urgency.
•Always do the right thing.
•Treat others as you wish to be treated.
•Strive for excellence in everything we do.
•Provide an environment that nurtures growth and enjoyment.

Heath relies on these values to deliver superior products and service to communities across the globe.",Unknown,1933.0,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQG1W9aPe4iN1w/company-logo_200_200/0/1665160930174?e=1677715200&v=beta&t=QJQL9rxEOdDX6_N7hzEIjYvS2-LE33tvPUXYMl17pck
10,Numerator,Chicago,IL,"Chicago, Illinois","1,001-5,000 employees",https://www.numerator.com/,Market Research,"Numerator is a data and tech company bringing speed and scale to market research.  Numerator blends first-party data from over 1 million US households with advanced technology to provide unparalleled 360-degree consumer understanding for the market research industry that has been slow to change. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The majority of Fortune 100 companies are Numerator clients.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpsGVksPQoWQ/company-logo_200_200/0/1656701410990?e=1677715200&v=beta&t=BhFBtjIY913CsWSsztVHyOPKimG8cc11ZZ7RqbA0f2s
11,Core & Main,St. Louis,MO,"St. Louis, MO","1,001-5,000 employees",https://coreandmain.com/,Wholesale,"Based in St. Louis, Core & Main is a leading specialized distributor of water, wastewater, storm drainage and fire protection products, and related services, to municipalities, private water companies and professional contractors across municipal, non-residential and residential end markets nationwide. With more than 300 locations, we provide our customers local expertise backed by a national supply chain. Our associates are committed to helping their communities thrive with safe and sustainable infrastructure.",Unknown,2017.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEaBi7p4hotPg/company-logo_200_200/0/1534347749161?e=1677715200&v=beta&t=vVqWlc85wawvukadpLxbt1px_-8lizK66bDN-eA7bkk
12,The Carlyle Group,Washington,DC,"Washington, DC","1,001-5,000 employees",http://www.carlyle.com/,Investment Management,"Carlyle (NASDAQ: CG) is a global investment firm with deep industry expertise that deploys private capital across three business segments: Global Private Equity, Global Credit and Global Investment Solutions. With $369 billion of assets under management as of September 30, 2022, Carlyle’s purpose is to invest wisely and create value on behalf of its investors, portfolio companies and the communities in which we live and invest. Carlyle employs more than 2,100 people in 29 offices across five continents.",Unknown,1987.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHqSQLqncBw9A/company-logo_200_200/0/1599166653113?e=1677715200&v=beta&t=b-NFwv08iVMjb_8Dr3JZgex-Dgoq0h-wRDBt3Yt3hlM
13,"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",Chicago,IL,"Chicago, IL","10,001+ employees",http://www.hcsc.com/careers/,Hospitals and Health Care,"Who We Are 
Imagine Something New, Something Different.

Health Care Service Corporation, a Mutual Legal Reserve Company (HCSC), is the largest customer-owned health insurer in the nation and the fourth largest overall. Operating through our Blue Cross and Blue Shield Plans in Illinois, Montana, New Mexico, Oklahoma and Texas (as well as a variety of affiliates and subsidiaries,) we are expanding access to high-quality, cost-effective health care. We are equipping members with information and tools so they can make the best health care decisions for themselves and their families.

HCSC is continuously recognized as an employer committed to community, diversity and inclusion, training and development.

HCSC is committed to pioneering the health care space in ways as effective as they are creative. If you are passionate about the impact you want to have through your work, with a desire to apply innovative thinking to new and emerging challenges, we encourage you to learn more about HCSC.

Learn about what we stand for, how we work and the difference we’re making in the lives of our 15 million members. Join HCSC and discover what new ways of thinking can mean for you, your community, our customers and our organization.



 
Divisions of Health Care Service Corporation, a Mutual Legal Reserve Company, an Independent Licensee of the Blue Cross and Blue Shield Association.

We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability, or protected veteran status.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQExeAN0NurHrA/company-logo_200_200/0/1667299065998?e=1677715200&v=beta&t=ib6ipvjCJVT6MFe1iP9oBWa1jXiIlLyNQREkiTarNbk
14,"New Iron, Inc.",Austin,TX,"Austin, Texas",11-50 employees,http://www.newiron.com/,Human Resources Services,"Once upon a time we thought we would change the world building great software. 

There are a few twists and turns in the story, but New Iron the product company failed.
We started consulting to make ends meet, and in the process found our calling.

Our path has given us a unique perspective.
We've grown organically into a staffing and recruiting company with a focus on fit and technical excellence.

Our vision is to change the world by improving the hiring experience.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGojMKH1hEX1A/company-logo_200_200/0/1614701756819?e=1677715200&v=beta&t=VEweUUHwKJAaMKrCaUVwmDmid2xvRT_Y4ow_rOrL3Fg
15,VitalMetrics,Goleta,CA,"Goleta, California",11-50 employees,http://www.vitalmetrics.com/,Environmental Services,"We empower organizations to see the full picture of their environmental impacts and advance their sustainability initiatives by combining best-in-class data, software, and industry expertise.

Find out why Fortune 500 companies, government agencies, and cities around the world partner with VitalMetics for all their GHG accounting, CDP reporting, LCA, and environmental data needs. Learn more at www.vitalmetrics.com.",Unknown,2005.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQG6OBsfU2mYCA/company-logo_200_200/0/1519871400915?e=1677715200&v=beta&t=mxoE8P04sBCIRS9vH3NWqEEYKYq4DQZJ_r3teOHxYm0
16,American Technology Consulting - ATC,Clive,IA,"Clive, Iowa",51-200 employees,http://www.american-technology.net/,IT Services and IT Consulting,"Born out of the challenges presented by the Great Recession of 2008, ATC has grown into a diversified Tech Company that has responded with speed and agility to many disruptions in more than a decade of existence.

In today’s fast-paced world, every business needs to be innovative to compete. That’s where we come in, by creating transformational software to dramatically improve productivity and create opportunities to get in front of the competition.

We are much more than the regular Custom Software Development Company. We solve business problems with technology in new and creative ways because we believe technology should enrich lives – that’s why we do what we do. 

We deliver strategy, design, automation, software development, managed services, and a multitude of IT solutions ranging from chatbots to Cloud transformations.

Through ATC Ventures, we fund inventive entrepreneurs with a passion for SaaS products and have built multiple tech startups from the ground up.
Our love affair with technology doesn’t stop with building great software. ATC’s Training division has trained over 10,000 professionals in various spheres of Information Technology. We are also a proud Scaled Agile Gold Transformation Partner providing training, coaching, and consulting services.
Headquartered in Iowa, with delivery centers in the United States and India, ATC is driven by a talented, passionate team willing to go the extra mile to bring great ideas to life.",Unknown,2007.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHR71hWsUHv0g/company-logo_200_200/0/1575070098317?e=1677715200&v=beta&t=5wTKNRTw7qaRD5ysJOo9vOCZusavrkdpFeXHf-Vz3YU
17,Penn Information Systems & Computing,Philadelphia,PA,"Philadelphia, PA",201-500 employees,https://www.isc.upenn.edu/,IT Services and IT Consulting,"ISC is Penn’s Trusted IT Partner, collaborating with the Penn community on IT services that enhance and support the mission of the University.
  
ISC is the University of Pennsylvania's central IT organization, providing the core network, data, voice, video, and enterprise application infrastructure and services upon which Penn’s numerous Schools and Centers build their unique tools and capabilities.

Check out all the engaging positions open at ISC  https://lnkd.in/gmx2ufrf

Our talented team members tell our story best!  https://lnkd.in/gaNYQW6b",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQEghcaCP4JZ1A/company-logo_200_200/0/1659021887134?e=1677715200&v=beta&t=d5HuXk2JLBg2qtHvsCUFvp79ELlQzTnIvOS7liR8ieE
18,A-MAX Auto Insurance,Dallas,TX,"Dallas, TX","501-1,000 employees",http://www.amaxinsurance.com/,Insurance,"A-MAX Auto Insurance is an industry leader that specializes in providing low cost insurance to thousands of Texas residents and businesses.  At A-MAX, we are dedicated to exceeding expectations by continuing to set forth our commitment of providing excellent service, affordable rates, and convenient locations.  We believe that buying insurance should be quick, easy, and hassle-free; which is why we have made it our mission to simplify insurance by providing easy-to-understand, customized policies that best fit the needs and budgets of our customers.

History & Growth
Headquartered in the heart of Dallas, Texas, A-MAX Auto Insurance has rapidly expanded its company’s growth since its inception in 2002; and today has over 100 locations in more than 17 cities throughout the state.  Each of our locations is operated by A-MAX’s highly trained insurance agents that meticulously cater to each and every customer’s individual needs, which has forged our unmatched reputation for garnering the absolute finest employees.  

Working at A-MAX
A-MAX actively fosters the growth of our employees and company to maximize our positive impact in the community. Our motivation is to provide sustainable career opportunities for our employees and reward them for their dedication and commitment.

Over the last 5 years A-MAX has diligently aided in the economic growth of local communities by more than tripling our workforce and adding more jobs in low-to-middle income neighborhoods across Texas.  Today, A-MAX has more than 450 employees throughout the state and continues to grow which opens ample opportunities for advancement within our organization.

Connect with Us
For more information, visit www.amaxinsurance.com or call us at 800-921-AMAX.",Unknown,2002.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEO9PTT-RQMbg/company-logo_200_200/0/1660329327117?e=1677715200&v=beta&t=0OHmB0vTc58SNFAjlEFrw3Y7gs1OU_I8fO_njcUHamw
19,Curate Partners,Woburn,MA,"Woburn, Massachusetts",11-50 employees,http://www.curatepartners.com/,IT Services and IT Consulting,"Curate Partners is a specialized recruitment agency that bridges the talent gap in digital transformation. We match quality talent with today’s hottest companies in tech innovation.

With our proven recruiting methodologies, we’ve curated a robust community of top talent, aka the “Purple Squirrels”. These individuals are the valuable game-changers every company needs to compete in a digital economy.

Curate Partners derives its name from the Latin word “to care” (cura). Translated into the English noun version, curate means “one who looks after souls”. We began our journey with a firm belief that our stakeholders–employees, candidates, clients and communities (charities) should be treated as equals and partners. People are the core of our business. Not numbers. Not spreadsheets. Not profits.


Curate Partners.
Real. Talented. People.",Unknown,2014.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFnSBW1ML-c2w/company-logo_200_200/0/1657637216391?e=1677715200&v=beta&t=yrGlTpnPcPQZQUP90EJzwE8tSKw53UPAX4bbaABnp4I
20,Yamaha Corporation of America,Buena Park,CA,"Buena Park, CA","10,001+ employees",http://usa.yamaha.com/,Musicians,"Yamaha Corporation of America (YCA) is one of the largest subsidiaries of Yamaha Corporation, Japan and offers a full line of award-winning musical instruments, sound reinforcement, commercial installation and home entertainment products to the U.S. market. YCA markets innovative, finely crafted technology and entertainment products and musical instruments targeted to the hobbyist, education, worship, music, professional audio installation and consumer markets.",Unknown,1960.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHVSYgXq4riLw/company-logo_200_200/0/1657305518010?e=1677715200&v=beta&t=XDzt1UfhRTqZUstf52ClyMkoDV86S8wanLbX91Ly5ow
21,McKesson,Irving,TX,"Irving, Texas","10,001+ employees",https://bit.ly/3xadvB0/,Hospitals and Health Care,"Welcome to the official LinkedIn page for McKesson Corporation. We're an impact-driven healthcare organization dedicated to “Advancing Health Outcomes For All.”

As a global healthcare company, we touch virtually every aspect of health. We work with biopharma companies, care providers, pharmacies, manufacturers, governments, and others to deliver insights, products and services that make quality care more accessible and affordable.  

To learn more about how #TeamMckesson helps improve care in every setting, visit: https://bit.ly/3xadvB0",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQFjODrUWVHQoA/company-logo_200_200/0/1656680505685?e=1677715200&v=beta&t=8KYCw6t15nwbdFBr_mjMipMljgteVzG8k_iaSKkL6OE
22,Southern Glazer's Wine & Spirits,Miami,FL,"Miami, Florida","10,001+ employees",https://www.southernglazers.com/careers/,Beverage Manufacturing,"Southern Glazer’s Wine & Spirits is the world’s pre-eminent distributor of beverage alcohol, and proud to be a multi-generational, family-owned company. We have operations in 44 states plus the District of Columbia and Canada. We offer an array of careers focused on delivering a captivating and rewarding experience.

We challenge our colleagues every step of the way and provide them with tools to grow, succeed and accomplish their personal and professional goals. Together, we can deliver the highest quality service to each of our customers and put you on the career path you’ve been looking for.

To learn more about our company and career opportunities, please visit one of the following sites: 

Corporate Information: 
www.southernglazers.com
Facebook.com/SouthernGlazers
Twitter @sgwinespirits
Instagram @sgwinespirits

Recruitment Information: 
www.southernglazers.com/careers
Facebook.com/southernglazerswineandspiritsjobs/
Instagram.com/sgwinespiritscareers/
Twitter @SGWSCareers",Unknown,1968.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQEXhLJbMlHtrw/company-logo_200_200/0/1656680409862?e=1677715200&v=beta&t=Hoj50j5q7KZJM3XPX2WyQiDHREKgn3JDMuW300a52sc
23,STMicroelectronics,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
24,Grid Dynamics,San Ramon,CA,"San Ramon, California","1,001-5,000 employees",http://www.griddynamics.com/,IT Services and IT Consulting,"Grid Dynamics is a leading provider of technology consulting, agile co-creation and scalable engineering and data science services for Fortune 500 corporations undergoing digital transformation. We work in close collaboration with our clients on digital transformation initiatives that span strategy consulting,  early prototypes and enterprise-scale delivery of new digital platforms. We help organizations become more agile and create innovative digital products and experiences using deep expertise in emerging technology, top global engineering talent, lean software development practices, and a high-performance product culture.

Headquartered in Silicon Valley with 4,000 technologists located in engineering delivery centers throughout the US, Western, Central, Eastern Europe, India and Mexico, Grid Dynamics is known for architecting and delivering some of the largest digital transformation programs in the retail, technology and financial sectors to help its clients win market share, shorten time to market and reduce costs of digital operations on a massive scale.",Unknown,2006.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQE4Hxv01HgS6g/company-logo_200_200/0/1544223293122?e=1677715200&v=beta&t=fSpOZmhB4_7f5qP24Qtk2t8A-T0pSgkOvObRbA_DlHA
25,The Clorox Company,Oakland,CA,"Oakland, CA","5,001-10,000 employees",http://www.TheCloroxCompany.com/,Manufacturing,"Clorox is a global company with leading brands that have become household names: our namesake bleach and cleaning products; Ayudín® and Poett® home care products; Pine-Sol® dilutable cleaner; Fresh Step® cat litter; Kingsford® charcoal; Hidden Valley® and K C Masterpiece® dressings and sauces; Brita® water filtration products; Glad® bags, wraps and containers; and Burt's Bees® natural personal care products. We manufacture products in more than two dozen countries and market them in more than 100 countries. Clorox trades on the New York Stock Exchange under the symbol CLX.",Unknown,1913.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHUiXSbfdV2CA/company-logo_200_200/0/1657049554017?e=1677715200&v=beta&t=WziTFhMSe8Q3gpvwt0UkwijKCg2Rg4iXnVynam8__MA
26,Sharethrough,Montreal,Quebec,"Montreal, Quebec",51-200 employees,http://www.sharethrough.com/,Internet Publishing,"Sharethrough is one of the top global independent omnichannel ad exchanges. Driven by our conviction that advertising should be underpinned by respect & care, we believe taking a human-centric approach to advertising and monetization is the key to a sustainable path forward for the independent and accessible internet to thrive.

Advertisers & publishers leverage Sharethrough’s unique technology to enhance every impression by rendering a higher-performing banner, video or native ad that dynamically fits into any placement on any site. Our publisher partners benefit from directly-sourced demand, scale and quality, prioritizing their monetization efforts while elevating performance. With its headquarters in Montreal, Sharethrough has several offices across North America including San Francisco on the west coast & New York City in the east.
______

Sharethrough est l'un des principaux échanges publicitaires omni canaux indépendants au monde. Animés par notre conviction que la publicité doit être sous-tendue par le respect et la considération, nous pensons que l'adoption d'une approche de la publicité et de la monétisation centrée sur l'humain est la clé d'une voie durable pour que l'internet indépendant et accessible puisse prospérer.

Les annonceurs et les éditeurs optimisent la technologie unique de Sharethrough pour améliorer chaque impression en rendant une publicité bannière, vidéo ou une native plus performante qui s'adapte dynamiquement à n'importe quel emplacement sur n'importe quel site, application ou autre actif numérique. Nos partenaires éditeurs bénéficient d'une demande directe, d’envergure et de qualité, ce qui leur permet de prioriser leurs efforts de monétisation tout en améliorant leurs performances. Sharethrough, dont le siège social est à Montréal, possède plusieurs bureaux en Amérique du Nord, notamment à sur la côte ouest à San Francisco et sur la côte est à New York.",Unknown,2008.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQEZnckK1qA-aA/company-logo_200_200/0/1620654814552?e=1677715200&v=beta&t=rEsnL3-zufMa5YuiIaUKqq_q8LsgM7rj4QkfMCSXePA
27,The AES Corporation,Arlington,VA,"Arlington, Virginia","5,001-10,000 employees",http://www.aes.com/,Utilities,"The world no longer thinks of energy as a matter of supply and demand. Now it’s a space for innovation and partnership. With this transformation comes a responsibility to work with a smarter approach, new thinking informed by past experiences, and with stronger collaboration between regulators and innovators, old systems and new technologies.  

At AES, we partner with our organizations from industries of every kind, across all markets and at every stage of development, and we’ve been doing it for decades. 

We know that every organization is at a unique place in their energy journey. A one-size fits all approach using outdated technology isn’t going to cut it. When you work with AES, you can expect to work in partnership with us to create innovative, customized energy solutions that deliver the most value to you and your energy goals while empowering the growth of your business. 

Want to join us?

We’re looking for people to join us on that journey and care more about who you are than what’s on your resumé. Coming from all walks of life, our people share a passion for improving lives by improving the energy sector through innovation, collaboration and action. At AES, we invest in your development and empower you to continuously improve because we know when you’re at your best, that’s when we’ll make the greatest impact.  We are AES.  Come join us, and let’s accelerate the future of energy, together.

Join our team of innovators at: www.aes.com/careers  ",Unknown,1981.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHrmddKtYfrxQ/company-logo_200_200/0/1603860261724?e=1677715200&v=beta&t=hMdgwtdZ2LA95Hi48XQs1WJM53AnYcaq6sJfllS675k
28,CCC Intelligent Solutions,Chicago,IL,"Chicago, Illinois","1,001-5,000 employees",https://cccis.com/about/,Software Development,"CCC is transforming the trillion-dollar automotive and insurance industries through the power and scale of our connected data platform.

Our cloud-based SaaS solutions leverage the latest in AI, IoT, telematics, customer experience, mobile and digital workflow technologies to create deep, actionable insights that help our clients drive business and change lives.

CCC has continued to innovate throughout its 40-year history, building scale through its extensive client partnerships while delivering industry leading first-to-market solutions. 

Connection powers everything we do, from our people to our products. From our team of world-class engineers and data scientists, to our account managers and customer support teams, we all play a role in challenging the status quo and envisioning new ways of working. We’re committed to helping our employees make the kind of connections that build meaningful careers. As a leader within the tech industry, we are also committed to taking practical steps to be inclusive and transparent when it comes to new job opportunities, learning and development, and career advancement. We support a continuous learning environment, empowering employees to innovate, lead, and bring their ideas to life. Learn more about our work culture at cccis.com/about-us/careers.

At CCC, we create what doesn’t exist and improve what does to keeps people’s lives moving forward when it matters most.

Come innovate with us.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGcBHOPH5xitQ/company-logo_200_200/0/1608758083263?e=1677715200&v=beta&t=AGRxyp9TzJ6Npi7NEbByWhA0SA71ukUAPsG30nHC-L0
29,Palisades Group,Austin,TX,"Austin, Texas",11-50 employees,http://www.palisades.us.com/,Investment Management,"As an alternative asset manager in the global residential credit markets having managed in excess of $21.0 billion of loans and real estate since 2012, we invest in, and actively manage, real estate-backed loans to consumers, property developers, and builders throughout the business cycle.

The Firm currently manages a diverse portfolio of residential loans and real estate with notional balance of approximately $7.3 billion with underlying properties located in the United States, Europe and Mexico.",Unknown,2012.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHs-VgiS640aw/company-logo_200_200/0/1519907133238?e=1677715200&v=beta&t=1503f1M7GG6aaqki5kWpGaqaKtS2381fWppqV_JaG2I
30,Welligence Energy Analytics,Houston,TX,"Houston, Texas",11-50 employees,http://www.welligence.com/,Oil and Gas,"Welligence is an analytics firm focused on the energy sector. Our application of machine learning is a paradigm shift within O&G analytics.

The management team has professional experience in oil and gas research and consulting, energy banking and private equity, and machine learning research. Partnering with some of the industry’s most respected investors and advisors furthers the Welligence vision of bringing energy research into the 21st century.",Unknown,2016.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpycIjBgmJLQ/company-logo_200_200/0/1622060005442?e=1677715200&v=beta&t=IWZ8WyaAKyA2afHdtym3kHcAWXLdw2qUI8E-ghNBVew
